38076,dataset/01_big/,fcn8s,20,0.6038897,0.5863208,0.5688765,0.5569782,0.4879847,5000,4000,3000,2000,1000
38076,dataset/01_big/,fcn8s,20,0.4735944,0.4598296,0.4433157,0.4361315,0.3820814,5000,4000,3000,2000,1000
23687,dataset/line/,fcn8s,20,0.9924394,0.9924394,1000,1000
23687,dataset/line/,fcn8s,20,0.4924961,0.4924961,1000,1000
30230,dataset/line/,segnet,20,0.9924394,0.9924394,1000,1000
30230,dataset/line/,segnet,20,0.4924961,0.4924961,1000,1000
63788,dataset/line/,fcn8s,20,0.9924394,0.9924394,2000,2000
63788,dataset/line/,fcn8s,20,0.4924961,0.4924961,2000,2000
17542,dataset/line/,fcn8s,20,0.6661655,0.6625689,8000,10000
17542,dataset/line/,fcn8s,20,0.5879558,0.5878771,10000,8000
53151,dataset/solid_line_samesize/,refinenet50,50,0.9515077,0.9500144,5000,4000
53151,dataset/solid_line_samesize/,refinenet50,50,0.9106857,0.9081457,5000,4000
75486,dataset/solid_line_samesize/,fcn8s,50,0.9384873,0.9360236,4000,6000
75486,dataset/solid_line_samesize/,fcn8s,50,0.8889729,0.8849610,4000,6000
92200,dataset/solid_line_samesize/,segnet,50,0.9403933,0.9388468,6000,5000
92200,dataset/solid_line_samesize/,segnet,50,0.8921408,0.8896086,6000,5000
